id,pubdate,headline,title,body
76,2011/3/18,死者不明1万5千人 避難39万人,死者・不明1万5千人超す＝18日で発生1週間―避難39万人・東日本大震災,東北地方沿岸部に甚大な被害を与えた東日本大震災は18日、発生から丸1週間を迎える。死者・行方不明者は1万5000人を超え、避難生活者は東北・関東の計8県で39万人近くに上る。燃料や水、食料などの物資は不足し、被災者は依然厳しい状況に置かれ、避難中に亡くなる人も相次いでいる。(時事通信)
77,2011/3/17,死者・不明者は1万3400人超に,死者・不明 １万３４００人超(NHK),
78,2011/3/17,死者不明者 1万3000人超える,死者・不明 １万３０００人超(NHK),
79,2011/3/14,死者・行方不明者 4200人に,死者・不明4200人に＝ガソリン不足など深刻―東日本大震災,11日発生した東日本大震災の被害は、発生4日目の14日も岩手、宮城、福島各県を中心に拡大し、警察庁のまとめによると、死者は1833人、行方不明者を合わせると4202人に達した。東北、北関東の6県で約37万2000人が避難生活を強いられる一方、水やガソリン、食料などの不足が深刻となっている。(時事通信)
80,2011/3/14,死者1597人 さらに拡大見通し,死者・不明3000人超＝さらに拡大見通し―東日本大震災,東日本大震災の被災者は14日午前0時現在で、死者1597人、行方不明者1481人となり、3000人を超えた。壊滅した宮城県南三陸町で、約9500人と連絡が取れない状態が続いており、被害はさらに拡大する見通しだ。(時事通信)
81,2011/3/12,死者・行方不明者1000人超に,死者・不明者 １０００人超に（NHK）,
82,2011/3/12,福島海岸部 約30キロ壊滅状態,地震　津波で３００世帯不明　福島・南相馬,福島県内の各地の消防によると、同県北部の海岸部では津波によって新地町から南相馬市まで約３０キロの住宅が壊滅状態。計４０００世帯が水浸しだという。南相馬市の小沢、渋沢、金沢の３地区で３００世帯の安否が不明で、消防の担当者は「朝になればもっと悲惨な状態が分かるだろう」と話した。(毎日新聞)
83,2011/3/11,仙台 若林区200-300人の遺体,東北、関東で巨大地震＝M8．8、仙台沿岸に遺体200〜300人―宮城北部震度7,11日午後2時46分、三陸沖を震源とする地震が起き、宮城県北部で震度7を観測した。気象庁によると、マグニチュード（M）は国内観測史上最大の8．8（暫定値）を記録。同3時15分にもM7．3の余震があり、茨城県南部などで震度6弱を観測した。仙台新港に高さ10メートルの津波が到来したほか、同50分に福島県相馬市で同7．3メートル、同4時52分には茨城県大洗町で同4．2メートルの津波を確認するなど、北海道から沖縄県まで広い範囲に津波が押し寄せた。宮城県警によると、仙台市若林区荒浜の沿岸地区で溺死したとみられる200〜300人の遺体を発見した。午後11時半現在、この他に確認された死者は122人。警察庁によると、不明者も約500人に上っている。(時事通信)
84,2011/3/11,地震死者39人 不明者も多数,地震　東北で巨大地震　死者３９人　不明多数,１１日午後２時４６分ごろ、東北地方で非常に強い地震があり、宮城県栗原市で震度７、仙台市や宇都宮市で６強、東京都心でも５強となるなど、北海道から九州の広い範囲で震度６弱〜１の揺れを記録した。津波も福島県・相馬港で７メートル以上を観測するなど、国内の太平洋側のほぼ全域に襲来。気象庁によると、震源地は宮城県・牡鹿半島の東南東約１３０キロで、震源の深さは約２４キロ、地震の規模を示すマグニチュード（Ｍ）は国内の観測史上最大の８．８と推定される。建物倒壊や土砂崩れ、火災、津波の被害などが各地で発生し、毎日新聞のまとめでは午後７時現在、死者は３９人。行方不明者も多数に上り、警察などは救助作業に全力を挙げている。(毎日新聞)
85,2011/3/11,全国で23人死亡 不明者多数,全国で２３人死亡 不明者多数(NHK),
86,2011/3/11,福島県白河市で8人生き埋めか,福島 白河で８人生き埋めか(NHK),
87,2011/3/11,福島 福祉施設倒壊し5人死亡,福島 福祉施設倒壊し５人死亡(NHK),"







"
